age,avgmonthlygbdownload,avgmonthlylongdistancecharges,cltv,churncategory,churnreason,churnscore,churn,city,contract,dependents,deviceprotection,internetservice,latitude,longitude,monthlycharges,multiplelines,numberofreferrals,onlinebackup,onlinesecurity,paperlessbilling,partner,paymentmethod,phoneservice,population,referredafriend,satisfactionscore,seniorcitizen,streamingmusic,streamingmovies,streamingtv,techsupport,totalextradatacharges,totallongdistancecharges,totalrefunds,totalrevenue,totalcharges,unlimiteddata,zipcode,customerid,gender,tenure
37,16,42.39,2205,No Churn,No Churn,65,No,Frazier Park,One year,Yes,No,DSL,34.827662,-118.999073,65.6,No,2,Yes,No,Yes,Yes,Mailed check,Yes,4498,1,3,0,0,No,Yes,Yes,0,381.51,0.0,974.81,593.3,1,93225,0002-ORFBO,Female,9
46,10,10.69,5414,No Churn,No Churn,66,No,Glendale,Month-to-month,No,No,DSL,34.162515,-118.203869,59.9,Yes,0,No,No,No,No,Mailed check,Yes,31297,0,5,0,1,Yes,No,No,10,96.21,38.33,610.28,542.4,0,91206,0003-MKNFE,Male,9
50,30,33.65,4479,Competitor,Competitor had better devices,71,Yes,Costa Mesa,Month-to-month,No,Yes,Fiber optic,33.645672,-117.922613,73.9,No,0,No,No,Yes,No,Electronic check,Yes,62069,0,1,0,0,No,No,No,0,134.6,0.0,415.45,280.85,1,92627,0004-TLHLJ,Male,4
78,4,27.82,3714,Dissatisfaction,Product dissatisfaction,91,Yes,Martinez,Month-to-month,No,Yes,Fiber optic,38.014457,-122.115432,98.0,No,1,Yes,No,Yes,Yes,Electronic check,Yes,46677,1,1,1,0,Yes,Yes,No,0,361.66,0.0,1599.51,1237.85,1,94553,0011-IGKFF,Male,13
75,11,7.38,3464,Dissatisfaction,Network reliability,68,Yes,Camarillo,Month-to-month,No,No,Fiber optic,34.227846,-119.079903,83.9,No,3,No,No,Yes,Yes,Mailed check,Yes,42853,1,1,1,0,No,Yes,Yes,0,22.14,0.0,289.54,267.4,1,93010,0013-EXCHZ,Female,3
23,73,16.77,5108,No Churn,No Churn,55,No,Midpines,Month-to-month,Yes,No,DSL,37.581496,-119.972762,69.4,No,0,No,No,Yes,No,Credit card (automatic),Yes,433,0,3,0,1,Yes,Yes,Yes,0,150.93,0.0,722.38,571.45,1,95345,0013-MHZWF,Female,9
67,14,9.96,5011,No Churn,No Churn,26,No,Lompoc,Two year,No,Yes,Fiber optic,34.757477,-120.550507,109.7,No,1,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,6165,1,3,1,1,Yes,Yes,Yes,0,707.16,0.0,8611.41,7904.25,1,93437,0013-SMEOE,Female,71
52,7,12.96,4604,No Churn,No Churn,49,No,Napa,Two year,No,No,Fiber optic,38.489789,-122.27011,84.65,Yes,8,No,Yes,Yes,Yes,Credit card (automatic),Yes,63947,1,4,0,0,No,No,Yes,20,816.48,0.0,6214.28,5377.8,0,94558,0014-BMAQU,Male,63
68,21,10.53,5525,No Churn,No Churn,34,No,Simi Valley,Month-to-month,No,No,DSL,34.296813,-118.685703,48.2,No,0,No,Yes,Yes,No,Electronic check,Yes,49027,0,3,1,0,No,No,No,0,73.71,0.0,414.06,340.35,1,93063,0015-UOCOJ,Female,7
43,14,28.46,5509,No Churn,No Churn,25,No,Sheridan,Two year,Yes,Yes,DSL,38.984756,-121.345074,90.45,Yes,3,Yes,Yes,Yes,Yes,Mailed check,Yes,1219,1,3,0,1,Yes,Yes,Yes,0,1849.9,0.0,7807.8,5957.9,1,95681,0016-QLJIS,Female,65
47,10,0.0,5435,No Churn,No Churn,54,No,Rancho Santa Fe,Two year,No,No,DSL,32.99356,-117.207121,45.2,No phone service,0,No,Yes,No,No,Credit card (automatic),No,1072,0,4,0,0,No,Yes,Yes,0,0.0,0.0,2460.55,2460.55,1,92091,0017-DINOC,Male,54
